net,length_um
rf.regs\[1\]\[22\],71.84
rf._03579_,71.74
clknet_leaf_101_clk,71.64
rf._03079_,71.54
clknet_leaf_135_clk,71.46
rf._02584_,71.26
clknet_leaf_66_clk,71.14
clknet_leaf_3_clk,71.08
rf._03526_,71.04
clknet_leaf_185_clk,71.04
rf._04142_,70.92
clknet_leaf_153_clk,70.88
clknet_leaf_108_clk,70.78
rf._02941_,70.72
clknet_leaf_60_clk,70.44
rf._01424_,70.42
clknet_leaf_121_clk,70.3
rf._03629_,70.24
rf.regs\[0\]\[3\],70.14
clknet_leaf_147_clk,69.94
rf._04094_,69.84
rf._02442_,69.78
rf._02380_,69.72
clknet_leaf_4_clk,69.72
_042_,69.5
clknet_leaf_119_clk,69.495
rf._02199_,68.96
rf._02589_,68.86
clknet_leaf_5_clk,68.86
clknet_leaf_85_clk,68.76
rf._02217_,68.74
clknet_leaf_168_clk,68.74
rf._02576_,68.705
rf._02674_,68.56
clknet_leaf_113_clk,68.5
rf._02930_,68.42
rf.regs\[2\]\[0\],68.36
clknet_leaf_42_clk,68.36
rf.regs\[0\]\[27\],68.32
rf._01096_,68.16
rf._01722_,67.94
rf._02416_,67.84
clknet_leaf_136_clk,67.52
clknet_leaf_158_clk,67.44
clknet_leaf_188_clk,67.38
rf._02274_,67.36
clknet_leaf_40_clk,67.32
alu_inst._114_,67.26
rf._03175_,67.18
clknet_leaf_192_clk,67.12
clknet_leaf_181_clk,66.86
rf.regs\[0\]\[24\],66.8
rf._04337_,66.7
rf._03993_,66.67
rf.regs\[9\]\[2\],66.67
rf._01265_,66.38
rf.regs\[17\]\[23\],66.18
rf._01701_,66.04
rf._02098_,66.04
rf.regs\[30\]\[14\],66.04
